Model,Activation,Optimizer,SeqLen,GradClipping,Accuracy,F1,EpochTime(s)
LSTM,ReLU,Adam,50,No,0.72792,0.7277610926252275,66.79168255329132
RNN,ReLU,Adam,50,No,0.7202,0.7186307750200783,32.431701517105104
BILSTM,ReLU,Adam,50,No,0.62592,0.5925959808495715,110.38948829174042
LSTM,Sigmoid,Adam,50,No,0.72084,0.7203400803751345,62.96586794853211
LSTM,Tanh,Adam,50,No,0.72016,0.7201409982454425,52.81225206851959
LSTM,ReLU,SGD,50,No,0.5138,0.49344869677322895,57.03680682182312
LSTM,ReLU,RMSPROP,50,No,0.73864,0.737831874513364,56.79047744274139
LSTM,ReLU,Adam,50,Yes,0.69688,0.6960170658923452,57.03771092891693
LSTM,ReLU,Adam,25,No,0.66112,0.660611175241391,34.329304575920105
LSTM,ReLU,Adam,100,No,0.5122,0.4446509277378804,105.2015145778656
